Trait Name,Type,Category,Prerequisite(s),PFS Legal,Description,Source,Version
A Sure Thing,,Faction (The Silver Crusade),,,"Once per day, you gain a +2 bonus on a single attack against an evil-aligned creature. If the creature is not evil-aligned, this ability is wasted with no benefit.",PCo:GtPSOP,
Accelerated Drinker,Basic,Combat,,,"You know how to drink a potion efficiently, such as by not using your hands, tossing it in the air and catching it in your mouth, or opening it with your teeth. You may drink a potion as a move action instead of a standard as long as you start your turn with the potion in your hand.",PCo:CEoD,PFRPG
Adopted,Basic,Social,,,"You were adopted and raised by someone not of your actual race, and raised in a society not your own. As a result, you picked up a race trait from your adoptive parents and society, and may immediately select a race trait from your adoptive parents’ race. ",P:CTWE,PFRPG
Aid Allies,,Faction (The Shadow Lodge),,,"When using the aid another action, you give your ally a +3 bonus instead of a +2 bonus.",PCo:GtPSOP,
Alchemical Prodigy,Regional,,From Qadira,,"In your magical studies, you have learned to substitute the careful application of alchemical principles for spell knowledge. Choose one 1st-level spell from the bard, cleric, druid, or sorcerer/wizard spell list. If you have the Brew Potion feat, you may create potions of this spell as if it were on your spell list.",PCo:QttE,3.5e
Alluring,Religion,,Dwarf race (follower of Bolka),,"You have the art of turning a passing glance into love. You receive a +2 trait bonus on Diplomacy checks with those who find you attractive. You can use daze once per day as a spell-like ability, with a caster level equal to your character level.",PCo:DoG,PFRPG
Ambassador,Religion,,Follower of Sarenrae,,"Your natural abilities at mediation and compromise manifested at a young age. For as long as you can remember, you were always more able to solve disputes and carefully settle violent disagreements than others. You gain a +2 trait bonus to Diplomacy checks.",PCo:TEoG,3.5e
Anatomist,Basic,Combat,,,"You have studied the workings of anatomy, either as a student at university or as an apprentice mortician or necromancer. You know where to aim your blows to strike vital organs and you gain a +1 trait bonus on all rolls made to confirm critical hits.",P:CTWE,PFRPG
Andoren Freedom Fighter,Regional,,From Andoran,,"You’ve dedicated your life to fighting against oppression, tyranny, and slavery. You gain a +1 trait bonus on attack and damage rolls against slavers or any creature holding someone against their will.",PCS:ISP,
Animal Friend,Race,,Gnome (from Katapesh),,"You’ve long been a friend to many among Katapesh’s animal life, and feel safer when there are animals nearby. You gain a +1 trait bonus on Will saving throws as long as an animal (Tiny or larger, must be at least indifferent toward you) is within 30 feet, and Handle Animal is always a class skill for you.",PCo:LoFPG,3.5e
Arcane Dabbler,Race,,Elf,,"Though your magical studies were decades ago, you still remember your favorite little trick. Choose a 0-level arcane spell. You may cast that spell once per day as a spell-like ability. Your caster level is equal to your highest class level in a spellcasting class; if you have no caster level, it functions at CL 1st. The spell-like abilityâ€™s save DC is Intelligence- or Charisma-based (chosen when you select this trait).",PCo:EoG,3.5e
Armor Expert,Basic,Combat,,,"You have worn armor as long as you can remember, either as part of your training to become a knight’s squire or simply because you were seeking to emulate a hero. Your childhood armor wasn’t the real thing as far as protection, but it did encumber you as much as real armor would have, and you’ve grown used to moving in such suits with relative grace. When you wear armor of any sort, reduce that suit’s armor check penalty by 1, to a minimum check penalty of 0. ",P:CTWE,PFRPG
Asmodean Demon Hunter,Religion,,Follower of Asmodeus,,"Raised in the church of Asmodeus (whether or not you are currently a follower of the Prince of Darkness), youâ€™ve focused your indoctrinated fervor primarily on the elimination of demons. You gain a +3 trait bonus on Knowledge (planes) checks about demons and a +2 trait bonus on Will saves against mind-affecting spells and effects from demons.",PCo:CEoD,PFRPG
Aspiring Bard,Race,,Human race (from Taldor),,"You spent countless hours of your youth wandering the open campuses of the Kitharodian Academy and the Rhapsodic College, listening to wonderful musicians and singers and daydreaming of your life as a bard. You gain a +1 trait bonus to one category of Perform checks and a +2 trait bonus to any Knowledge (local) checks that deal with the Oppara music scene.",PCo:TEoG,3.5e
Attuned to the Ancestors,,Faction - Osirion,,,"You were raised to believe that undead were nothing to fearâ€”they are simply the unliving remnants of your honored ancestors. Once per day, you can surround yourself with an aura of unlife. Unintelligent undead ignore you unless you take action against them, per hide from undead. The protection lasts for 1 round per two character levels you possess. If you take any offensive action against any undead, this effect immediately ends. This is a supernatural ability.",PCo:GtPSOP,
Augmented Disguise,,Equipment,,,"You are especially good at disguising yourself when you have props available. You gain a +2 trait bonus on Disguise checks when wearing a wig, false beard, or similar large prop, or if you are wearing a special costume or eye-catching bauble that reinforces your disguise.",Adventurer's Armory,PFRPG
Azlant Fanatic,Race,,Human race (Azlanti subrace),,Your years spent in libraries reading every musty tome you could find about the ancient lost civilization of Azlant have given you insight into the subjects of history and the arcane. You gain a +1 trait bonus to Knowledge (arcana) and Knowledge (history) checks. One of these skills (your choice) is always a class skill for you.,PCo:TEoG,3.5e
Bad Reputation,,Faction (The Sczarni),,," The reputation of the Sczarni precedes your  arrival.  You  gain  a  +2  trait  bonus  on  Intimidate checks, and Intimidate becomes a class skill for you.",PCo:GtPSOP,
Bastard,Campaign,Kingmaker,Human race,,"One of your parents was a member of one of the great families of Brevoy, perhaps even of the line of Rogarvia itself. Yet you have no substantive proof of your nobility, and you’ve learned that claiming nobility without evidence makes you as good as a liar. While you might own a piece of jewelry, a scrap of once-rich fabric, or an aged confession of love, none of this directly supports your claim. Thus, you’ve lived your life in the shadow of nobility, knowing that you deserve the comforts and esteem of the elite, even though the contempt of fate brings you nothing but their scorn. Whether a recent attempt to prove your heritage has brought down the wrath of a noble family’s henchmen or you merely seek to prove the worth of the blood in your veins, you’ve joined an expedition into the Stolen Lands, hoping to make a name all your own. You take a –1 penalty on all Charisma-based skill checks made when dealing with members of Brevic nobility but gain a +1 trait bonus on Will saves as a result of your stubbornness and individuality. (The penalty aspect of this trait is removed if you ever manage to establish yourself as a true noble.)",PAP:KMPG,PFRPG
Battlefield Caster,Religion,,"Dwarf race (follower of Angradd, Gorum, Torag, or Trudd)",,Your faith protects you even as you unleash spells in the thick of battle. You receive a +1 trait bonus on concentration checks to cast defensively and a +1 trait bonus to AC against attacks provoked by or readied against spellcasting.,PCo:DoG,PFRPG
Beneficient Touch,,Faction (The Silver Crusade),,,"Once per day, when you cast a spell or use a class ability that heals hit point damage, reroll any 1s that appear on the dice and take the new roll (even if it is another 1).",PCo:GtPSOP,
Birthmark,Basic,Faith,,,"You were born with a strange birthmark that looks very similar to the holy symbol of the god you chose to worship later in life. This birthmark can serve you as a divine focus for casting spells, and, as a physical manifestation of your faith, increases your devotion to your godâ€”you gain a +2 trait bonus on all saving throws against charm and compulsion effects as a result.",P:CTWE,PFRPG
Blade of Mercy,Religion,,Follower of Sarenrae,,"You know that within the heart of even the most hateful and cruel living creature exists a sliver of shame and hope for redemption. You have trained long on martial techniques to use bladed weapons not to kill, but to subdue. When striking to inflict nonlethal damage with any slashing weapon, you do not take the normal â€“4 penalty on your attack roll, and gain a +1 trait bonus to any nonlethal damage you inflict with a slashing weapon.",PCo:LoFPG,3.5e
Blooded,Regional,,Dwarf race (from Mindspin Mountains),,"Desperate battles have honed your fighting skills against the ancient enemies of the dwarves. You receive a +1 trait bonus on weapon damage rolls against giants, goblins, and orcs.",PCo:DoG,PFRPG
Brastlewark Businessman,Basic,Social,Gnome,Legal,Your time among the Brastlewark elite has led to an extensive knowledge of alchemy and ready connections in the trade. You gain a +2 trait bonus on all Craft (alchemy) checks.,PCo:GoG,PFRPG
Brigand,Campaign,Kingmaker,,,"You hail from the River Kingdoms or the more lawless reaches of Brevoy. Life has been hard for you. Perhaps your parents and siblings were crooks and con artists, or maybe your rough, lonely life lead you to fall in with thieves and worse. You know how to ambush travelers, bully traders, avoid the law, and camp where no one might find you. Recently, you’ve run into some trouble, either with the law or with other bandits, and you’re looking to get away to somewhere no one would ever think to look for you. An expedition into the rugged wilderness seems like a perfect way to lie low until the trouble blows over. You begin the campaign with an extra 100 gp in ill-gotten gains. You also gain a +1 trait bonus on Bluff, Diplomacy, Intimidate, and Sense Motive checks when dealing with brigands, thieves, bandits, and their ilk. ",PAP:KMPG,PFRPG
Brute ,Race,,Half-orc (from Taldor),,"You have spent long hours working for a crime lord, either as a low-level enforcer or as a guard or bouncer. You're adept at frightening away people and gain a +2 trait bonus on Intimidate checks.",PCo:TEoG,3.5e
Bullied,Basic,Combat,,,"You were bullied often as a child, and you are now constantly ready to defend yourself with your fists when an enemy comes near. You gain a +1 trait bonus on attacks of opportunity attack rolls made with unarmed strikes. Note that this trait does not grant the ability to make attacks of opportunity with your unarmed strikes—you’ll need to take a level of monk, the Improved Unarmed Strike feat, or some other similar power to gain the use of this Character Trait. However, that doesn’t prevent you from selecting this trait. You’ll simply not be able to make use of it until a later point if you do. ",P:CTWE,PFRPG
Bully,Basic,Social,,,"You grew up in an environment where the meek were ignored and you often had to resort to threats or violence to be heard. You gain a +1 trait bonus on Intimidate checks, and Intimidate is always a class skill for you.",P:CTWE,PFRPG
Calistrian Prostitute,Religion,,Follower of Calistria,,"You worked in one of Calistria’s temples as a sacred prostitute, and you know how to flatter, please, and (most of all) listen. You gain a +1 trait bonus on Gather Information and Sense Motive checks.",PCo:EoG,3.5e
Canter,Basic,Social,,,"You grew up among thieves and scoundrels, and their unusual speech patterns and turns of phrase don’t phase you in the slightest today as a result. Anyone who attempts to use Bluff to deliver a secret message to you gains a +5 bonus on his Bluff check. When you attempt to intercept a secret message using Sense Motive, you gain a +5 trait bonus on the attempt.",P:CTWE,PFRPG
Captain's Blade,,Faction - Andoran,,,"You were born on board a ship and learned to fight beside the sailing men and women of 
the Andoren fleet. While on board any vessel afloat on water, you gain a +1 trait bonus on Acrobatics and Climb checks. One of these skills (your choice) is always a class skill for you.",PCo:GtPSOP,
Carefully Hidden ,Race,,Human (Keleshite),,Modern Taldor is not kind to Keleshites. Your life as a member of an unpopular ethnic group has given you an uncanny knack for avoiding detection. You gain a +1 trait bonus to Will saves and a +2 trait bonus to saving throws versus divination effects.,PCo:TEoG,3.5e
Caretaker,Basic,Faith,,,"As the child of an herbalist or an assistant in a temple infirmary, you often had to assist in tending to the sick and wounded. You gain a +1 trait bonus on Heal checks, and Heal is always a class skill for you. ",P:CTWE,PFRPG
Charlaton,Race,Gnome,Non-lawful alignment,Legal,"Your talent for illusion goes beyond a mere knack for figments and phantasms. You can actually channel spell energy into simple illusions that augment your attempts at deception. As a swift action, you may expend one prepared spell or spell slot to gain a bonus on the next Bluff check you make, provided the check takes place before the beginning of your next turn. The bonus on this check is equal to the level of the spell consumed. You may use this ability 3 times per day.",PCo:GoG,
Charming,Basic,Social,,,"Blessed with good looks, you’ve come to depend on the fact that others find you attractive. You gain a +1 trait bonus when you use Bluff or Diplomacy on a character that is (or could be) sexually attracted to you, and a +1 trait bonus to the save DC of any language-dependent spell you cast on such characters or creatures.",P:CTWE,PFRPG
Child of Infamy,Campaign,Council of Thieves,,,"Your family has long been in show business. Perhaps it was your parents, or an older sibling, or an uncle or aunt—whatever the case, one of your close relatives is, or was, a well-known and well-loved actor or actress. That this relation died in some compromising and embarrassing way has done little to alter your family’s name and fame—if anything, the unfortunate death has increased it. When folk learn your last name, they are quick to assume you live a wild life like your ill-fated relative, and whether you bask in this notoriety or do your best to hide your heritage, the years of association with the acting scene have had their effect. You’ve certainly inherited your relative’s talents, and are a larger-than-life figure, a melodramatic attention-hound, or a sly manipulator of emotions. You gain a +1 trait bonus on Perform (act) skill checks, and the skill is always considered a class skill for you. Furthermore, you’ve inherited some of your relative’s funds, and begin play with a nest egg of 300 gp that you can spend however you wish.",PAP:CoTPG,PFRPG
Child of the Street,Basic,Social,,,"You grew up on the streets of a large city, and as a result you have developed a knack for picking pockets and hiding small objects on your person. You gain a +1 trait bonus on Sleight of Hand checks, and Sleight of Hand is always a class skill for you.",P:CTWE,PFRPG
Child of the Temple,Basic,Faith,,,"You have long served at a temple in a city, and not only did you pick up on many of the nobility’s customs, you spent much time in the temple libraries studying your faith. You gain a +1 trait bonus on Knowledge (nobility and royalty) and Knowledge (religion) checks, and one of these skills (your choice) is always a class skill for you. ",P:CTWE,PFRPG
Child of Zolurket,Race,,Dwarf race (from Katapesh),,"You come from a family whose ancestors worked in the platinum mines near Tar Urkatka, now known as Zolurket. Your parents never explained why they've never returned to Zolurket, but they did make sure that you knew your way around a fight against undead foes. You gain a +1 trait bonus to weapon damage against undead.",PCo:LoFPG,3.5e
Chivalrous,Regional,,From Taldor,,"You were raised on stories of heroic knights and benevolent wizards, and wish to emulate their great deeds. You gain a +1 trait bonus to Diplomacy and Knowledge (history) checks.",PCo:TEoG,3.5e
Classically Schooled,Basic,Magic,,,"Your apprenticeship or early education was particularly focused on the direct application of magic. You gain a +1 trait bonus on Spellcraft checks, and Spellcraft is always a class skill for you.",P:CTWE,PFRPG
Cleansing the Twisted,Religion,,Follower of Sarenrae,,You have studied well the many religious texts that chronicle Sarenrae’s neverending struggle against Rovagug and his monstrous offspring. Your fighting style works particularly well when you utilize slashing weapons against aberrations. You gain a +1 trait bonus to slashing weapon damage against all aberrations.,PCo:LoFPG,3.5e
Clearheaded,Race,,Dwarf race,,You see through deception and lies.  You gain a +1 trait bonus on opposed checks against the Bluff and Disguise skills and a +1 trait bonus on saving throws against illusion effects.,PCo:DoG,PFRPG
Cliff Jumper,Regional,,From Cliffs of Fury,,"You spent your early years exploring and foraging along the coastal cliffs. You gain a +1 trait bonus on Acrobatics and Climb checks, and on Reflex saves to avoid falling.",PCo:CEoD,PFRPG
Coin Hoarder,Regional,,Dwarf race (from Mindspin Mountains),,Everything has a price—and it’s your job to know it. Your starting cash increases to 500 gp.,PCo:DoG,PFRPG
Collector,Race (Gnome),,Gnome race,Legal,"You have a small, bizarre collection of apparently worthless items, such as rusty nails, animal droppings, clockwork cogs, or bent spoons. You find this strange menagerie useful in ways no non-gnome could understand. Seeking new items to add to this collection is endlessly fascinating to you, and while no one else may understand why a Chelish horsenail is worthy to add to your collection when a dwarven wheelbarrow nail is not, it all makes sense to you. Select one of the following skills: Craft (any one), Disable Device, Escape Artist, Perform (any one), Spellcraft. Whenever you have your collection within 5 feet of you, you gain a +2 trait bonus on all checks made with the selected skill. Once this skill has been selected, it cannot be changed, nor can you gain it for any other collection you begin amassing.",PCo:GoG,PFRPG
Comparative Religion,Faction (The Silver Crusade),,,,"Your  allies  within  the  Silver Crusade have taught you a lot about other faiths. You gain a +1 trait bonus on Knowledge (religion) skill checks, and Knowledge (religion) becomes a class skill for you.",PCo:GtPSOP,
Conspiracy Hunter ,Council of Thieves,,,,"You’ve long heard rumors of dark deeds afoot in Westcrown. Shipments of valuable cargo that go missing with nary a trace or question asked. People who disappear as though they never existed. Lords of business and nobles who speak in veiled references and accidental slips of masters even they must obey. What lords rule the Westcrown underworld? Do the tales of far-reaching criminal organizations hold a hint of truth? Could the fabled Council of Thieves, said to have been purged from the city ages ago, have somehow survived or reformed? And what hold do they hold over the city today? You don’t know, but you’re determined to find out! Choose one of the following skills: Bluff, Diplomacy, Knowledge (local), Perception, Sense Motive, or Stealth. You gain a +1 trait bonus on this skill and it is always considered a class skill for you.",PAP:CoTPG,PFRPG
Courageous,Combat,,,,"Your childhood was brutal, yet you persevered primarily through force of will and the hope that no matter how hard things might get, as long as you kept a level head you’d make it through. You gain a +2 trait bonus on saving throws against fear effects. ",P:CTWE,PFRPG
Courageous,,,,,"Your childhood was brutal, yet you persevered primarily through force of will and the hope that no matter how hard things might get, as long as you kept a level head youâ€™d make it through. You gain a +2 trait bonus on saving throws against fear effects.",P:CTWE,
Dangerously Curious,Magic,,,,"You have always been intrigued by magic, possibly because you were the child of a magician or priest. You often snuck into your parent’s laboratory or shrine to tinker with spell components and magic devices, and often caused quite a bit of damage and headaches for your parent as a result. You gain a +1 bonus on Use Magic Device checks, and Use Magic Device is always a class skill for you.",P:CTWE,PFRPG
Dealmaker,Equipment,,,,"You have the air of a person with money, allowing you to buy and sell valuables that otherwise are too rich for the local community. Once per week, when looking for an item with a price greater than the local community’s base value (see page 461 of the Pathfinder RPG Core Rulebook), make a DC 10 Diplomacy check; add 10 to the DC for each community size category between the current community and the community size with a base value sufficient for that item. Success means (with GM approval) you’re able to sell or purchase that item as if the local community were of sufficient size. Each additional attempt (successful or otherwise) in that community increases the DC by an additional +10.

Example: If you’re trying to find a +1 cloak of resistance (1,000 gp), you’d normally need to be in a small town (base value 1,000 gp) or larger to be able to find that item with little trouble. If you’re currently in a hamlet, that’s two community sizes away from a small town, so the Diplomacy DC is 30. If you went to a village and asked there, the DC would only be 20 because it’s only one community size away from a small town.",Adventurer's Armory,PFRPG
Deep Guardian,Magic,,Dwarf race,,"The subtle power of the deep places of the world flows within you, and grants you mastery of summoning beings of earth and stone. Any creature you conjure with a summon spell that has the earth subtype or a burrow speed gains a +1 morale bonus on attack rolls and a +1 enhancement bonus to Armor Class for the duration of the spell that summoned it. ",PCo:DoG,PFRPG
Deep Marker,Race,,Dwarf race,,"You’ve dared uncharted tunnels in pursuit of the gladdringgar (the chiseling of name-runes in subterranean depths). You gain a +1 trait bonus on Survival checks, and a +1 trait bonus on saving throws against fear effects.",PCo:DoG,PFRPG
Deft Dodger,Basic,,,,Growing up in a rough neighborhood or a dangerous environment has honed your senses. You gain a +1 trait bonus on Reflex saves.,P:CTWE,PFRPG
Dervish,Faction,,,,"You trained at a secret fighting school in Katheer where you learned the art of rapid movement in combat. You gain a +1 dodge bonus to Armor Class against attacks of opportunity caused when you move out of or within a threatened area. Dodge bonuses stack with each other, unlike most types of bonuses.",PCo:GtPSOP,
Desert Child,Regional,,From Katapesh,,"You were born and raised in southern Katapesh, in the rocky deserts that border Nex. You are accustomed to high temperatures and gain a +4 trait bonus on any saving throws made to resist the effects of being in hot conditions, and a +1 trait bonus on all saving throws against fire effects.",PCo:LoFPG,3.5e
Desert Shadow,Faction,,,,You move with a quick and quiet grace and your enemies are often taken unawares by your silent speed. When using the Stealth skill to move at full speed you no longer suffer a â€“5 penalty on your Stealth skill check.,PCo:GtPSOP,
Desperate Focus,Basic,,,,You’ve often found yourself in situations where a lack of focus can lead to worse than a lost spell. You gain a +2 trait bonus on concentration checks.,PCo:CEoD,PFRPG
Devil's Mark,Faction,,,,"You bear the stain of a higher fiend upon you and any evil creature who sees it may think twice before crossing you. You gain a +2 trait bonus on all Bluff, Diplomacy, Intimidate, and Sense Motive checks when dealing with outsiders of the evil subtype.",PCo:GtPSOP,
Devotee of a Dead God ,Religion,,Follower of Aroden,,You simply cannot and will not accept that Aroden is dead. Your faith in his teachings and religion are stronger than ever. You gain a +1 trait bonus on Diplomacy checks and Knowledge (religion) checks. One of these skills (your choice) is always a class skill for you.,PCo:TEoG,3.5e
Devotee of the Green,Basic,,,,"Your faith in the natural world or one of the gods of nature makes it easy for you to pick up on related concepts. You gain a +1 trait bonus on Knowledge (geography) and Knowledge (nature) checks, and one of these skills (your choice) is always a class skill for you. ",P:CTWE,PFRPG
Diabolical Dabbler ,Basic,,,,Each fiendish animal you conjure with any summon spell gains +1 hit point per hit die for the duration of the spell that summoned it.,PCo:CEoD,PFRPG
Diabolist Raised ,Campaign,,,,"All your life you’ve lived within the grip of devil-possessed Cheliax. You care little for the religion of your country, but that is the way of life in the most magnificent empire in the world, and who are you to question the faith of the empire’s rulers? Certainly not a fool like some of your more idealistic acquaintances, possessed of bizarre ideals about personal freedoms and egalitarian rulership—who can say whatever happened to them? You know of Hell and the rigidity of its grim rulers, you’ve seen devils and how they might be employed to the betterment of those with the might to control them, and you know of the dark faith of your country. You might not be a devil worshiper yourself, but there are realities to living in Cheliax, and it’s always good to know what’s really going on behind the scenes. Your knowledge of diabolism grants you a +1 bonus on Bluff, Diplomacy, Intimidate, and Sense Motive checks made against Westcrown’s nobility, and a +1 bonus on all saving throws made against mindaffecting attacks from devils.",PAP:CoTPG,PFRPG
Dilettante Artist,Race,,Elf race (from Taldor),,Art for you is a social gateway and you use it to influence and penetrate high society. You gain a +1 trait bonus to one category of Perform checks and a +1 trait bonus to Diplomacy checks. One of these skills (your choice) is always a class skill for you.,PCo:TEoG,3.5e
